County,State,StateSpace,Geography,Stub,Estimate,Stub2,Stub3
Prince George's County,Maryland, Maryland,"Prince George's County, Maryland",. . With health insurance coverage,"427,891",  With health insurance coverage,With health insurance coverage
Prince George's County,Maryland, Maryland,"Prince George's County, Maryland",. . No health insurance coverage,"106,494",  No health insurance coverage,No health insurance coverage
Prince George's County,Maryland, Maryland,"Prince George's County, Maryland",. 65 years or over:,"73,681", 65 years or over,65 years or over
Prince George's County,Maryland, Maryland,"Prince George's County, Maryland",. . With health insurance coverage,"72,421",  With health insurance coverage,With health insurance coverage
Prince George's County,Maryland, Maryland,"Prince George's County, Maryland",. . No health insurance coverage,"1,260",  No health insurance coverage,No health insurance coverage
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",Total:,"97,073",Total,Total
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",. Under 18 years:,"26,281", Under 18 years,Under 18 years
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",. . With health insurance coverage,"25,447",  With health insurance coverage,With health insurance coverage
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",. . No health insurance coverage,834,  No health insurance coverage,No health insurance coverage
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",. 18 to 64 years:,"60,708", 18 to 64 years,18 to 64 years
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",. . With health insurance coverage,"56,138",  With health insurance coverage,With health insurance coverage
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",. . No health insurance coverage,"4,570",  No health insurance coverage,No health insurance coverage
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",. 65 years or over:,"10,084", 65 years or over,65 years or over
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",. . With health insurance coverage,"9,995",  With health insurance coverage,With health insurance coverage
St. Mary's County,Maryland, Maryland,"St. Mary's County, Maryland",. . No health insurance coverage,89,  No health insurance coverage,No health insurance coverage
Washington County,Maryland, Maryland,"Washington County, Maryland",Total:,"138,654",Total,Total
Washington County,Maryland, Maryland,"Washington County, Maryland",. Under 18 years:,"32,940", Under 18 years,Under 18 years
Washington County,Maryland, Maryland,"Washington County, Maryland",. . With health insurance coverage,"30,068",  With health insurance coverage,With health insurance coverage
Washington County,Maryland, Maryland,"Washington County, Maryland",. . No health insurance coverage,"2,872",  No health insurance coverage,No health insurance coverage
Washington County,Maryland, Maryland,"Washington County, Maryland",. 18 to 64 years:,"86,160", 18 to 64 years,18 to 64 years
Washington County,Maryland, Maryland,"Washington County, Maryland",. . With health insurance coverage,"70,077",  With health insurance coverage,With health insurance coverage
Washington County,Maryland, Maryland,"Washington County, Maryland",. . No health insurance coverage,"16,083",  No health insurance coverage,No health insurance coverage
Washington County,Maryland, Maryland,"Washington County, Maryland",. 65 years or over:,"19,554", 65 years or over,65 years or over
Washington County,Maryland, Maryland,"Washington County, Maryland",. . With health insurance coverage,"19,440",  With health insurance coverage,With health insurance coverage
Washington County,Maryland, Maryland,"Washington County, Maryland",. . No health insurance coverage,114,  No health insurance coverage,No health insurance coverage
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",Total:,"92,906",Total,Total
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",. Under 18 years:,"21,730", Under 18 years,Under 18 years
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",. . With health insurance coverage,"21,174",  With health insurance coverage,With health insurance coverage
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",. . No health insurance coverage,556,  No health insurance coverage,No health insurance coverage
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",. 18 to 64 years:,"59,209", 18 to 64 years,18 to 64 years
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",. . With health insurance coverage,"46,782",  With health insurance coverage,With health insurance coverage
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",. . No health insurance coverage,"12,427",  No health insurance coverage,No health insurance coverage
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",. 65 years or over:,"11,967", 65 years or over,65 years or over
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",. . With health insurance coverage,"11,903",  With health insurance coverage,With health insurance coverage
Wicomico County,Maryland, Maryland,"Wicomico County, Maryland",. . No health insurance coverage,64,  No health insurance coverage,No health insurance coverage
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",Total:,"624,952",Total,Total
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",. Under 18 years:,"152,326", Under 18 years,Under 18 years
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",. . With health insurance coverage,"142,418",  With health insurance coverage,With health insurance coverage
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",. . No health insurance coverage,"9,908",  No health insurance coverage,No health insurance coverage
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",. 18 to 64 years:,"400,152", 18 to 64 years,18 to 64 years
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",. . With health insurance coverage,"318,445",  With health insurance coverage,With health insurance coverage
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",. . No health insurance coverage,"81,707",  No health insurance coverage,No health insurance coverage
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",. 65 years or over:,"72,474", 65 years or over,65 years or over
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",. . With health insurance coverage,"70,919",  With health insurance coverage,With health insurance coverage
Baltimore city,Maryland, Maryland,"Baltimore city, Maryland",. . No health insurance coverage,"1,555",  No health insurance coverage,No health insurance coverage
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",Total:,"217,543",Total,Total
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",. Under 18 years:,"38,966", Under 18 years,Under 18 years
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",. . With health insurance coverage,"37,877",  With health insurance coverage,With health insurance coverage
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",. . No health insurance coverage,"1,089",  No health insurance coverage,No health insurance coverage
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",. 18 to 64 years:,"127,182", 18 to 64 years,18 to 64 years
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",. . With health insurance coverage,"118,409",  With health insurance coverage,With health insurance coverage
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",. . No health insurance coverage,"8,773",  No health insurance coverage,No health insurance coverage
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",. 65 years or over:,"51,395", 65 years or over,65 years or over
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",. . With health insurance coverage,"51,395",  With health insurance coverage,With health insurance coverage
Barnstable County,Massachusetts, Massachusetts,"Barnstable County, Massachusetts",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",Total:,"126,695",Total,Total
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",. Under 18 years:,"24,911", Under 18 years,Under 18 years
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",. . With health insurance coverage,"24,547",  With health insurance coverage,With health insurance coverage
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",. . No health insurance coverage,364,  No health insurance coverage,No health insurance coverage
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",. 18 to 64 years:,"79,748", 18 to 64 years,18 to 64 years
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",. . With health insurance coverage,"74,826",  With health insurance coverage,With health insurance coverage
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",. . No health insurance coverage,"4,922",  No health insurance coverage,No health insurance coverage
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",. 65 years or over:,"22,036", 65 years or over,65 years or over
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",. . With health insurance coverage,"22,036",  With health insurance coverage,With health insurance coverage
Berkshire County,Massachusetts, Massachusetts,"Berkshire County, Massachusetts",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",Total:,"537,697",Total,Total
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",. Under 18 years:,"122,692", Under 18 years,Under 18 years
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",. . With health insurance coverage,"119,966",  With health insurance coverage,With health insurance coverage
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",. . No health insurance coverage,"2,726",  No health insurance coverage,No health insurance coverage
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",. 18 to 64 years:,"346,125", 18 to 64 years,18 to 64 years
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",. . With health insurance coverage,"325,281",  With health insurance coverage,With health insurance coverage
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",. . No health insurance coverage,"20,844",  No health insurance coverage,No health insurance coverage
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",. 65 years or over:,"68,880", 65 years or over,65 years or over
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",. . With health insurance coverage,"68,691",  With health insurance coverage,With health insurance coverage
Bristol County,Massachusetts, Massachusetts,"Bristol County, Massachusetts",. . No health insurance coverage,189,  No health insurance coverage,No health insurance coverage
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",Total:,"726,259",Total,Total
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",. Under 18 years:,"172,302", Under 18 years,Under 18 years
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",. . With health insurance coverage,"169,565",  With health insurance coverage,With health insurance coverage
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",. . No health insurance coverage,"2,737",  No health insurance coverage,No health insurance coverage
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",. 18 to 64 years:,"459,696", 18 to 64 years,18 to 64 years
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",. . With health insurance coverage,"434,327",  With health insurance coverage,With health insurance coverage
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",. . No health insurance coverage,"25,369",  No health insurance coverage,No health insurance coverage
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",. 65 years or over:,"94,261", 65 years or over,65 years or over
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",. . With health insurance coverage,"93,396",  With health insurance coverage,With health insurance coverage
Essex County,Massachusetts, Massachusetts,"Essex County, Massachusetts",. . No health insurance coverage,865,  No health insurance coverage,No health insurance coverage
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",Total:,"70,674",Total,Total
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",. Under 18 years:,"13,609", Under 18 years,Under 18 years
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",. . With health insurance coverage,"12,999",  With health insurance coverage,With health insurance coverage
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",. . No health insurance coverage,610,  No health insurance coverage,No health insurance coverage
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",. 18 to 64 years:,"47,367", 18 to 64 years,18 to 64 years
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",. . With health insurance coverage,"44,186",  With health insurance coverage,With health insurance coverage
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",. . No health insurance coverage,"3,181",  No health insurance coverage,No health insurance coverage
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",. 65 years or over:,"9,698", 65 years or over,65 years or over
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",. . With health insurance coverage,"9,698",  With health insurance coverage,With health insurance coverage
Franklin County,Massachusetts, Massachusetts,"Franklin County, Massachusetts",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",Total:,"452,252",Total,Total
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",. Under 18 years:,"108,763", Under 18 years,Under 18 years
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",. . With health insurance coverage,"106,844",  With health insurance coverage,With health insurance coverage
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",. . No health insurance coverage,"1,919",  No health insurance coverage,No health insurance coverage
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",. 18 to 64 years:,"283,951", 18 to 64 years,18 to 64 years
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",. . With health insurance coverage,"268,068",  With health insurance coverage,With health insurance coverage
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",. . No health insurance coverage,"15,883",  No health insurance coverage,No health insurance coverage
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",. 65 years or over:,"59,538", 65 years or over,65 years or over
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",. . With health insurance coverage,"59,431",  With health insurance coverage,With health insurance coverage
Hampden County,Massachusetts, Massachusetts,"Hampden County, Massachusetts",. . No health insurance coverage,107,  No health insurance coverage,No health insurance coverage
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",Total:,"153,613",Total,Total
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",. Under 18 years:,"24,945", Under 18 years,Under 18 years
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",. . With health insurance coverage,"24,372",  With health insurance coverage,With health insurance coverage
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",. . No health insurance coverage,573,  No health insurance coverage,No health insurance coverage
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",. 18 to 64 years:,"110,885", 18 to 64 years,18 to 64 years
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",. . With health insurance coverage,"106,162",  With health insurance coverage,With health insurance coverage
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",. . No health insurance coverage,"4,723",  No health insurance coverage,No health insurance coverage
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",. 65 years or over:,"17,783", 65 years or over,65 years or over
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",. . With health insurance coverage,"17,735",  With health insurance coverage,With health insurance coverage
Hampshire County,Massachusetts, Massachusetts,"Hampshire County, Massachusetts",. . No health insurance coverage,48,  No health insurance coverage,No health insurance coverage
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",Total:,"1,463,129",Total,Total
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",. Under 18 years:,"320,756", Under 18 years,Under 18 years
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",. . With health insurance coverage,"316,108",  With health insurance coverage,With health insurance coverage
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",. . No health insurance coverage,"4,648",  No health insurance coverage,No health insurance coverage
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",. 18 to 64 years:,"960,994", 18 to 64 years,18 to 64 years
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",. . With health insurance coverage,"918,904",  With health insurance coverage,With health insurance coverage
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",. . No health insurance coverage,"42,090",  No health insurance coverage,No health insurance coverage
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",. 65 years or over:,"181,379", 65 years or over,65 years or over
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",. . With health insurance coverage,"180,549",  With health insurance coverage,With health insurance coverage
Middlesex County,Massachusetts, Massachusetts,"Middlesex County, Massachusetts",. . No health insurance coverage,830,  No health insurance coverage,No health insurance coverage
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",Total:,"651,551",Total,Total
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",. Under 18 years:,"147,669", Under 18 years,Under 18 years
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",. . With health insurance coverage,"145,134",  With health insurance coverage,With health insurance coverage
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",. . No health insurance coverage,"2,535",  No health insurance coverage,No health insurance coverage
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",. 18 to 64 years:,"415,681", 18 to 64 years,18 to 64 years
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",. . With health insurance coverage,"397,948",  With health insurance coverage,With health insurance coverage
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",. . No health insurance coverage,"17,733",  No health insurance coverage,No health insurance coverage
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",. 65 years or over:,"88,201", 65 years or over,65 years or over
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",. . With health insurance coverage,"88,161",  With health insurance coverage,With health insurance coverage
Norfolk County,Massachusetts, Massachusetts,"Norfolk County, Massachusetts",. . No health insurance coverage,40,  No health insurance coverage,No health insurance coverage
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",Total:,"480,494",Total,Total
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",. Under 18 years:,"117,523", Under 18 years,Under 18 years
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",. . With health insurance coverage,"115,181",  With health insurance coverage,With health insurance coverage
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",. . No health insurance coverage,"2,342",  No health insurance coverage,No health insurance coverage
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",. 18 to 64 years:,"306,682", 18 to 64 years,18 to 64 years
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",. . With health insurance coverage,"290,568",  With health insurance coverage,With health insurance coverage
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",. . No health insurance coverage,"16,114",  No health insurance coverage,No health insurance coverage
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",. 65 years or over:,"56,289", 65 years or over,65 years or over
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",. . With health insurance coverage,"56,289",  With health insurance coverage,With health insurance coverage
Plymouth County,Massachusetts, Massachusetts,"Plymouth County, Massachusetts",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",Total:,"722,104",Total,Total
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",. Under 18 years:,"144,052", Under 18 years,Under 18 years
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",. . With health insurance coverage,"141,656",  With health insurance coverage,With health insurance coverage
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",. . No health insurance coverage,"2,396",  No health insurance coverage,No health insurance coverage
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",. 18 to 64 years:,"505,662", 18 to 64 years,18 to 64 years
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",. . With health insurance coverage,"466,214",  With health insurance coverage,With health insurance coverage
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",. . No health insurance coverage,"39,448",  No health insurance coverage,No health insurance coverage
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",. 65 years or over:,"72,390", 65 years or over,65 years or over
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",. . With health insurance coverage,"71,493",  With health insurance coverage,With health insurance coverage
Suffolk County,Massachusetts, Massachusetts,"Suffolk County, Massachusetts",. . No health insurance coverage,897,  No health insurance coverage,No health insurance coverage
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",Total:,"770,195",Total,Total
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",. Under 18 years:,"184,830", Under 18 years,Under 18 years
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",. . With health insurance coverage,"182,531",  With health insurance coverage,With health insurance coverage
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",. . No health insurance coverage,"2,299",  No health insurance coverage,No health insurance coverage
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",. 18 to 64 years:,"497,445", 18 to 64 years,18 to 64 years
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",. . With health insurance coverage,"477,962",  With health insurance coverage,With health insurance coverage
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",. . No health insurance coverage,"19,483",  No health insurance coverage,No health insurance coverage
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",. 65 years or over:,"87,920", 65 years or over,65 years or over
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",. . With health insurance coverage,"87,674",  With health insurance coverage,With health insurance coverage
Worcester County,Massachusetts, Massachusetts,"Worcester County, Massachusetts",. . No health insurance coverage,246,  No health insurance coverage,No health insurance coverage
Allegan County,Michigan, Michigan,"Allegan County, Michigan",Total:,"111,384",Total,Total
Allegan County,Michigan, Michigan,"Allegan County, Michigan",. Under 18 years:,"28,521", Under 18 years,Under 18 years
Allegan County,Michigan, Michigan,"Allegan County, Michigan",. . With health insurance coverage,"27,724",  With health insurance coverage,With health insurance coverage
Allegan County,Michigan, Michigan,"Allegan County, Michigan",. . No health insurance coverage,797,  No health insurance coverage,No health insurance coverage
Allegan County,Michigan, Michigan,"Allegan County, Michigan",. 18 to 64 years:,"70,291", 18 to 64 years,18 to 64 years
Allegan County,Michigan, Michigan,"Allegan County, Michigan",. . With health insurance coverage,"57,971",  With health insurance coverage,With health insurance coverage
Allegan County,Michigan, Michigan,"Allegan County, Michigan",. . No health insurance coverage,"12,320",  No health insurance coverage,No health insurance coverage
Allegan County,Michigan, Michigan,"Allegan County, Michigan",. 65 years or over:,"12,572", 65 years or over,65 years or over
Allegan County,Michigan, Michigan,"Allegan County, Michigan",. . With health insurance coverage,"12,501",  With health insurance coverage,With health insurance coverage
Allegan County,Michigan, Michigan,"Allegan County, Michigan",. . No health insurance coverage,71,  No health insurance coverage,No health insurance coverage
Bay County,Michigan, Michigan,"Bay County, Michigan",Total:,"106,541",Total,Total
Bay County,Michigan, Michigan,"Bay County, Michigan",. Under 18 years:,"23,682", Under 18 years,Under 18 years
Bay County,Michigan, Michigan,"Bay County, Michigan",. . With health insurance coverage,"23,014",  With health insurance coverage,With health insurance coverage
Bay County,Michigan, Michigan,"Bay County, Michigan",. . No health insurance coverage,668,  No health insurance coverage,No health insurance coverage
Bay County,Michigan, Michigan,"Bay County, Michigan",. 18 to 64 years:,"66,548", 18 to 64 years,18 to 64 years
Bay County,Michigan, Michigan,"Bay County, Michigan",. . With health insurance coverage,"57,912",  With health insurance coverage,With health insurance coverage
Bay County,Michigan, Michigan,"Bay County, Michigan",. . No health insurance coverage,"8,636",  No health insurance coverage,No health insurance coverage
Bay County,Michigan, Michigan,"Bay County, Michigan",. 65 years or over:,"16,311", 65 years or over,65 years or over
Bay County,Michigan, Michigan,"Bay County, Michigan",. . With health insurance coverage,"16,253",  With health insurance coverage,With health insurance coverage
Bay County,Michigan, Michigan,"Bay County, Michigan",. . No health insurance coverage,58,  No health insurance coverage,No health insurance coverage
Berrien County,Michigan, Michigan,"Berrien County, Michigan",Total:,"158,094",Total,Total
Berrien County,Michigan, Michigan,"Berrien County, Michigan",. Under 18 years:,"38,461", Under 18 years,Under 18 years
Berrien County,Michigan, Michigan,"Berrien County, Michigan",. . With health insurance coverage,"35,720",  With health insurance coverage,With health insurance coverage
Berrien County,Michigan, Michigan,"Berrien County, Michigan",. . No health insurance coverage,"2,741",  No health insurance coverage,No health insurance coverage
Berrien County,Michigan, Michigan,"Berrien County, Michigan",. 18 to 64 years:,"95,545", 18 to 64 years,18 to 64 years
Berrien County,Michigan, Michigan,"Berrien County, Michigan",. . With health insurance coverage,"77,880",  With health insurance coverage,With health insurance coverage
Berrien County,Michigan, Michigan,"Berrien County, Michigan",. . No health insurance coverage,"17,665",  No health insurance coverage,No health insurance coverage
Berrien County,Michigan, Michigan,"Berrien County, Michigan",. 65 years or over:,"24,088", 65 years or over,65 years or over
Berrien County,Michigan, Michigan,"Berrien County, Michigan",. . With health insurance coverage,"23,988",  With health insurance coverage,With health insurance coverage
Berrien County,Michigan, Michigan,"Berrien County, Michigan",. . No health insurance coverage,100,  No health insurance coverage,No health insurance coverage
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",Total:,"133,794",Total,Total
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",. Under 18 years:,"32,465", Under 18 years,Under 18 years
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",. . With health insurance coverage,"31,277",  With health insurance coverage,With health insurance coverage
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",. . No health insurance coverage,"1,188",  No health insurance coverage,No health insurance coverage
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",. 18 to 64 years:,"83,335", 18 to 64 years,18 to 64 years
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",. . With health insurance coverage,"67,726",  With health insurance coverage,With health insurance coverage
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",. . No health insurance coverage,"15,609",  No health insurance coverage,No health insurance coverage
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",. 65 years or over:,"17,994", 65 years or over,65 years or over
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",. . With health insurance coverage,"17,981",  With health insurance coverage,With health insurance coverage
Calhoun County,Michigan, Michigan,"Calhoun County, Michigan",. . No health insurance coverage,13,  No health insurance coverage,No health insurance coverage
Clinton County,Michigan, Michigan,"Clinton County, Michigan",Total:,"69,313",Total,Total
Clinton County,Michigan, Michigan,"Clinton County, Michigan",. Under 18 years:,"17,147", Under 18 years,Under 18 years
Clinton County,Michigan, Michigan,"Clinton County, Michigan",. . With health insurance coverage,"16,874",  With health insurance coverage,With health insurance coverage
Clinton County,Michigan, Michigan,"Clinton County, Michigan",. . No health insurance coverage,273,  No health insurance coverage,No health insurance coverage
Clinton County,Michigan, Michigan,"Clinton County, Michigan",. 18 to 64 years:,"43,741", 18 to 64 years,18 to 64 years
Clinton County,Michigan, Michigan,"Clinton County, Michigan",. . With health insurance coverage,"39,084",  With health insurance coverage,With health insurance coverage
Clinton County,Michigan, Michigan,"Clinton County, Michigan",. . No health insurance coverage,"4,657",  No health insurance coverage,No health insurance coverage
Clinton County,Michigan, Michigan,"Clinton County, Michigan",. 65 years or over:,"8,425", 65 years or over,65 years or over
Clinton County,Michigan, Michigan,"Clinton County, Michigan",. . With health insurance coverage,"8,378",  With health insurance coverage,With health insurance coverage
Clinton County,Michigan, Michigan,"Clinton County, Michigan",. . No health insurance coverage,47,  No health insurance coverage,No health insurance coverage
Eaton County,Michigan, Michigan,"Eaton County, Michigan",Total:,"106,262",Total,Total
Eaton County,Michigan, Michigan,"Eaton County, Michigan",. Under 18 years:,"23,633", Under 18 years,Under 18 years
Eaton County,Michigan, Michigan,"Eaton County, Michigan",. . With health insurance coverage,"22,689",  With health insurance coverage,With health insurance coverage
Eaton County,Michigan, Michigan,"Eaton County, Michigan",. . No health insurance coverage,944,  No health insurance coverage,No health insurance coverage
Eaton County,Michigan, Michigan,"Eaton County, Michigan",. 18 to 64 years:,"69,135", 18 to 64 years,18 to 64 years
Eaton County,Michigan, Michigan,"Eaton County, Michigan",. . With health insurance coverage,"62,494",  With health insurance coverage,With health insurance coverage
